Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
28/11/1900,66.59,66.59,66.59,66.59
29/11/1900,66.59,66.59,66.59,66.59
30/11/1900,66.59,66.59,66.59,66.59
01/12/1900,66.59,66.59,66.59,66.59
02/12/1900,66.59,66.59,66.59,66.59
03/12/1900,66.43,66.43,66.43,66.43
04/12/1900,65.42,65.42,65.42,65.42
05/12/1900,66.05,66.05,66.05,66.05
06/12/1900,65.07,65.07,65.07,65.07
07/12/1900,64.17,64.17,64.17,64.17
08/12/1900,64.17,64.17,64.17,64.17
09/12/1900,64.17,64.17,64.17,64.17
10/12/1900,64.65,64.65,64.65,64.65
11/12/1900,65.54,65.54,65.54,65.54
12/12/1900,65.45,65.45,65.45,65.45
13/12/1900,64.89,64.89,64.89,64.89
14/12/1900,65.54,65.54,65.54,65.54
15/12/1900,65.54,65.54,65.54,65.54
16/12/1900,65.54,65.54,65.54,65.54
17/12/1900,65.7,65.7,65.7,65.7
18/12/1900,66.52,66.52,66.52,66.52
19/12/1900,67.19,67.19,67.19,67.19
20/12/1900,67.38,67.38,67.38,67.38
21/12/1900,68.63,68.63,68.63,68.63
22/12/1900,68.63,68.63,68.63,68.63
23/12/1900,68.63,68.63,68.63,68.63
24/12/1900,68.63,68.63,68.63,68.63
25/12/1900,68.63,68.63,68.63,68.63
26/12/1900,70.85,70.85,70.85,70.85
27/12/1900,71.04,71.04,71.04,71.04
28/12/1900,69.79,69.79,69.79,69.79
29/12/1900,69.79,69.79,69.79,69.79
30/12/1900,69.79,69.79,69.79,69.79
31/12/1900,70.71,70.71,70.71,70.71
01/01/1901,70.71,70.71,70.71,70.71
02/01/1901,70.44,70.44,70.44,70.44
03/01/1901,67.97,67.97,67.97,67.97
04/01/1901,69.33,69.33,69.33,69.33
07/01/1901,67.12,67.12,67.12,67.12
08/01/1901,67.65,67.65,67.65,67.65
09/01/1901,67.53,67.53,67.53,67.53
10/01/1901,67.89,67.89,67.89,67.89
11/01/1901,67.85,67.85,67.85,67.85
14/01/1901,67.26,67.26,67.26,67.26
15/01/1901,66.5,66.5,66.5,66.5
16/01/1901,65.71,65.71,65.71,65.71
17/01/1901,65.3,65.3,65.3,65.3
18/01/1901,65.21,65.21,65.21,65.21
21/01/1901,64.92,64.92,64.92,64.92
22/01/1901,65.53,65.53,65.53,65.53
23/01/1901,66.37,66.37,66.37,66.37
24/01/1901,65.65,65.65,65.65,65.65
25/01/1901,66.16,66.16,66.16,66.16
28/01/1901,66.29,66.29,66.29,66.29
29/01/1901,66.56,66.56,66.56,66.56
30/01/1901,66.72,66.72,66.72,66.72
31/01/1901,66.81,66.81,66.81,66.81
01/02/1901,67.71,67.71,67.71,67.71
04/02/1901,68.46,68.46,68.46,68.46
05/02/1901,69.27,69.27,69.27,69.27
06/02/1901,69.89,69.89,69.89,69.89
07/02/1901,69.33,69.33,69.33,69.33
08/02/1901,69.8,69.8,69.8,69.8
11/02/1901,70.48,70.48,70.48,70.48
12/02/1901,70.48,70.48,70.48,70.48
13/02/1901,69.45,69.45,69.45,69.45
14/02/1901,70.62,70.62,70.62,70.62
15/02/1901,70.78,70.78,70.78,70.78
18/02/1901,68.92,68.92,68.92,68.92
19/02/1901,68.37,68.37,68.37,68.37
20/02/1901,67.96,67.96,67.96,67.96
21/02/1901,68.55,68.55,68.55,68.55
22/02/1901,68.55,68.55,68.55,68.55
25/02/1901,68.27,68.27,68.27,68.27
26/02/1901,67.36,67.36,67.36,67.36
27/02/1901,68.11,68.11,68.11,68.11
28/02/1901,67,67,67,67
01/03/1901,67.76,67.76,67.76,67.76
